name,code,long,gclat,gdlat,height,map
Retamar,I91,357.6925,36.663982,36.84849,22.864573,http://www.openstreetmap.org?zoom=17&lon=357.6925&lat=36.84849
"Astreo Observatory, Mairena del Aljarafe",I92,353.95288,37.160156,37.34558,119.11031,http://www.openstreetmap.org?zoom=17&lon=353.95288&lat=37.34558
St Pardon de Conques,I93,359.797,44.366318,44.55871,18.560848,http://www.openstreetmap.org?zoom=17&lon=359.797&lat=44.55871
"Observatorio Rho Ophiocus, Las Rozas de Madrid",I94,356.1367,40.305656,40.495583,740.5156,http://www.openstreetmap.org?zoom=17&lon=356.1367&lat=40.495583
Observatorio de la Hita,I95,356.81393,39.379776,39.56861,674.8707,http://www.openstreetmap.org?zoom=17&lon=356.81393&lat=39.56861
"Hyperion Observatory, Urbanizacion Caraquiz",I96,356.50385,40.6033,40.793537,676.26086,http://www.openstreetmap.org?zoom=17&lon=356.50385&lat=40.793537
"Penn Heights Observatory, Rickmansworth",I97,359.50177,51.452515,51.639935,66.023895,http://www.openstreetmap.org?zoom=17&lon=359.50177&lat=51.639935
El Berrueco,I98,356.4134,40.69296,40.883274,1054.4198,http://www.openstreetmap.org?zoom=17&lon=356.4134&lat=40.883274
"Observatorio Blanquita, Vaciamadrid",I99,356.46042,40.16272,40.352497,618.799,http://www.openstreetmap.org?zoom=17&lon=356.46042&lat=40.352497
Segorbe,J00,359.5056,39.66336,39.852562,387.41006,http://www.openstreetmap.org?zoom=17&lon=359.5056&lat=39.852562
"Observatorio Cielo Profundo, Leon",J01,354.2845,42.186153,42.377686,813.63336,http://www.openstreetmap.org?zoom=17&lon=354.2845&lat=42.377686
Busot,J02,359.555,38.28853,38.475834,187.3071,http://www.openstreetmap.org?zoom=17&lon=359.555&lat=38.475834
"Gothers Observatory, St. Dennis",J03,355.1325,50.205036,50.394173,142.35135,http://www.openstreetmap.org?zoom=17&lon=355.1325&lat=50.394173
"ESA Optical Ground Station, Tenerife",J04,343.48816,28.14063,28.300922,2391.2087,http://www.openstreetmap.org?zoom=17&lon=343.48816&lat=28.300922
"Bootes Observatory, Boecillo",J05,355.2964,41.354626,41.545555,715.9967,http://www.openstreetmap.org?zoom=17&lon=355.2964&lat=41.545555
"Trent Astronomical Observatory, Clifton",J06,358.81247,52.723824,52.90913,48.065342,http://www.openstreetmap.org?zoom=17&lon=358.81247&lat=52.90913
"Observatorio SPAG Monfrague, Palazuelo-Empalme",J07,353.89542,39.745857,39.935158,414.60904,http://www.openstreetmap.org?zoom=17&lon=353.89542&lat=39.935158
"Observatorio Zonalunar, Puzol",J08,359.6549,39.4382,39.62713,64.96801,http://www.openstreetmap.org?zoom=17&lon=359.6549&lat=39.62713
Balbriggan,J09,353.7917,53.431328,53.615295,53.24886,http://www.openstreetmap.org?zoom=17&lon=353.7917&lat=53.615295
Alicante,J10,359.5984,38.23877,38.426003,86.946144,http://www.openstreetmap.org?zoom=17&lon=359.5984&lat=38.426003
Matosinhos,J11,351.3177,41.574837,41.76596,17.313395,http://www.openstreetmap.org?zoom=17&lon=351.3177&lat=41.76596
Caraquiz,J12,356.51062,40.60226,40.792496,702.85455,http://www.openstreetmap.org?zoom=17&lon=356.51062&lat=40.792496
La Palma-Liverpool Telescope,J13,342.1208,28.600533,28.762514,2387.5618,http://www.openstreetmap.org?zoom=17&lon=342.1208&lat=28.762514
La Corte,J14,345.9928,28.244299,28.40503,211.57648,http://www.openstreetmap.org?zoom=17&lon=345.9928&lat=28.40503
Muxagata,J15,352.8306,40.84621,41.036697,339.21414,http://www.openstreetmap.org?zoom=17&lon=352.8306&lat=41.036697
"An Carraig Observatory, Loughinisland",J16,354.20355,54.155834,54.33832,17.866755,http://www.openstreetmap.org?zoom=17&lon=354.20355&lat=54.33832
Ragdon,J17,357.20312,52.339626,52.5256,308.32495,http://www.openstreetmap.org?zoom=17&lon=357.20312&lat=52.5256
"Dingle Observatory, Montgomery",J18,356.906,52.324604,52.51061,197.30208,http://www.openstreetmap.org?zoom=17&lon=356.906&lat=52.51061
El Maestrat,J19,359.83035,40.03181,40.221447,406.68945,http://www.openstreetmap.org?zoom=17&lon=359.83035&lat=40.221447
Aravaca,J20,356.21927,40.269455,40.459347,651.6686,http://www.openstreetmap.org?zoom=17&lon=356.21927&lat=40.459347
El Boalo,J21,356.08002,40.53312,40.72328,956.49243,http://www.openstreetmap.org?zoom=17&lon=356.08002&lat=40.72328
"Tacande Observatory, La Palma",J22,342.13235,28.479975,28.64156,754.0269,http://www.openstreetmap.org?zoom=17&lon=342.13235&lat=28.64156
Centre Astronomique de La Couyere,J23,358.49362,47.70154,47.893047,91.4095,http://www.openstreetmap.org?zoom=17&lon=358.49362&lat=47.893047
Observatorio Altamira,J24,343.5572,28.086641,28.246777,596.98206,http://www.openstreetmap.org?zoom=17&lon=343.5572&lat=28.246777
"Penamayor Observatory, Nava",J25,354.48883,43.167046,43.359108,230.4455,http://www.openstreetmap.org?zoom=17&lon=354.48883&lat=43.359108
"The Spaceguard Centre, Knighton",J26,356.9812,52.13873,52.325043,419.5829,http://www.openstreetmap.org?zoom=17&lon=356.9812&lat=52.325043
